Row No,Brand,Laptop Type,Inches,Ram,Memory,Operating System,Weight(In Grams),Price,Touch Screen,IPS,Retina,Width,Height,Maximum Display Resolution,Menory,Primary Storage,Secondary Storage,Primary Storage Type,Secondary Storage Type,Clock Speed,Processor Brand,Processor Model,GPU Brand,GPU Model
288,Dell,Workstation,17.3,16GB,256GB SSD,Windows 10,3400.0,153705.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.9GHz,Intel,Core i7 7820HQ,Nvidia,Quadro M1200
289,Lenovo,Notebook,15.6,6GB,1TB HDD,Windows 10,2400.0,26587.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.4GHz,AMD,A10-Series 9600P,AMD,Radeon R5 430
290,Asus,Ultrabook,15.6,16GB,512GB SSD,Windows 10,1600.0,78215.0,No,No,No,1920.0,1080.0,Full HD (FHD),512GB SSD,512GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,Nvidia,GeForce 940MX
291,Asus,Notebook,14,4GB,128GB SSD,Windows 10,1300.0,27120.0,No,No,No,1366.0,768.0,HD / HD+,128GB SSD,128GB SSD,Not Available,SSD,Not Available,2.4GHz,Intel,Core i3 7100U,Intel,HD Graphics 620
292,Asus,Gaming,17.3,16GB,256GB SSD +  1TB HDD,Windows 10,2900.0,113060.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD +  1TB HDD,256GB SSD,1TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1070
293,Lenovo,Notebook,17.3,6GB,1TB HDD,Windows 10,5800.0,34579.0,No,No,No,1600.0,900.0,HD / HD+,1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.5GHz,Intel,Core i5 7200U,Nvidia,GeForce GTX 940M
294,Lenovo,Notebook,15.6,8GB,2TB HDD,No OS,2200.0,29251.0,No,No,No,1366.0,768.0,HD / HD+,2TB HDD,2TB HDD,Not Available,HDD,Not Available,2.5GHz,Intel,Core i5 7200U,Nvidia,GeForce 940MX
295,Asus,Gaming,15.6,8GB,128GB SSD +  1TB HDD,Windows 10,2500.0,67399.0,No,No,No,1920.0,1080.0,Full HD (FHD),128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti
296,Lenovo,Notebook,15.6,4GB,1TB HDD,No OS,2200.0,19180.0,No,No,No,1366.0,768.0,HD / HD+,1TB HDD,1TB HDD,Not Available,HDD,Not Available,1.1GHz,Intel,Pentium Quad Core N4200,Intel,HD Graphics 505
297,HP,2 in 1 Convertible,13.3,16GB,256GB SSD,Windows 10,1300.0,105228.0,Yes,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.8GHz,Intel,Core i7 7600U,Intel,HD Graphics 620
298,Toshiba,Notebook,15.6,8GB,256GB SSD,Windows 10,2200.0,55571.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i7 6500U,Nvidia,GeForce 930M
299,Lenovo,Notebook,15.6,8GB,128GB SSD +  1TB HDD,Windows 10,2300.0,43636.0,No,No,No,1920.0,1080.0,Full HD (FHD),128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,2.5GHz,Intel,Core i5 7200U,Nvidia,GeForce 940MX
300,HP,Notebook,15.6,4GB,1TB HDD,Windows 10,1900.0,24988.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2GHz,Intel,Core i3 6006U,Intel,HD Graphics 520
301,Lenovo,Notebook,13.3,8GB,256GB SSD,Windows 10,1100.0,53227.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
302,Dell,Ultrabook,13.3,16GB,1TB SSD,Windows 10,1200.0,133147.0,Yes,Yes,No,3840.0,2160.0,4K Ultra HD (UHD),1TB SSD,1TB SSD,Not Available,SSD,Not Available,1.8GHz,Intel,Core i7 8550U,Intel,UHD Graphics 620
303,MSI,Gaming,15.6,16GB,256GB SSD +  1TB HDD,Windows 10,2800.0,111835.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD +  1TB HDD,256GB SSD,1TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1070
304,Acer,Notebook,15.6,8GB,256GB SSD,Windows 10,2200.0,24988.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.2GHz,AMD,A8-Series 7410,AMD,Radeon R5
305,Asus,2 in 1 Convertible,11.6,2GB,32GB Flash Storage,Windows 10,1100.0,14652.0,Yes,No,No,1366.0,768.0,HD / HD+,32GB Flash Storage,32GB Flash Storage,Not Available,Flash,Not Available,1.1GHz,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500
306,Dell,Notebook,15.6,8GB,128GB SSD +  1TB HDD,Windows 10,2300.0,44968.0,No,No,No,1920.0,1080.0,Full HD (FHD),128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,1.6GHz,Intel,Core i5 8250U,AMD,Radeon 530
307,HP,2 in 1 Convertible,13.3,16GB,1TB SSD,Windows 10,1300.0,130483.0,Yes,Yes,No,3840.0,2160.0,4K Ultra HD (UHD),1TB SSD,1TB SSD,Not Available,SSD,Not Available,1.8GHz,Intel,Core i7 8550U,Intel,UHD Graphics 620
308,Lenovo,Notebook,13.3,4GB,16GB Flash Storage,Chrome OS,1400.0,24503.0,No,No,No,1366.0,768.0,HD / HD+,16GB Flash Storage,16GB Flash Storage,Not Available,Flash,Not Available,1.6GHz,Intel,Celeron Dual Core 3855U,Intel,HD Graphics 510
309,HP,Notebook,14,8GB,256GB SSD,Windows 10,2000.0,52214.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
310,Acer,Notebook,11.6,4GB,128GB Flash Storage,Windows 10,1400.0,25841.0,No,No,No,1366.0,768.0,HD / HD+,128GB Flash Storage,128GB Flash Storage,Not Available,Flash,Not Available,1.6GHz,Intel,Pentium Quad Core N3710,Intel,HD Graphics 405
311,HP,Notebook,14,8GB,256GB SSD,Windows 10,1500.0,68838.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,Intel,HD Graphics 620
312,Lenovo,Notebook,17.3,4GB,1TB HDD,Windows 10,2800.0,31382.0,No,No,No,1600.0,900.0,HD / HD+,1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.5GHz,Intel,Core i5 7200U,Nvidia,GeForce 920MX
313,Asus,Notebook,14,8GB,256GB SSD,Windows 10,2000.0,58288.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,Intel,HD Graphics 620
314,HP,Notebook,15.6,8GB,1TB HDD,Windows 10,2100.0,48059.0,No,Yes,No,1366.0,768.0,HD / HD+,1TB HDD,1TB HDD,Not Available,HDD,Not Available,1.8GHz,Intel,Core i7 8550U,Intel,UHD Graphics 620
315,Acer,Notebook,15.6,8GB,256GB SSD,Windows 10,2200.0,35112.0,No,No,No,1366.0,768.0,HD / HD+,256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.7GHz,AMD,A12-Series 9720P,AMD,Radeon RX 540
316,Lenovo,Notebook,14,4GB,32GB Flash Storage,Windows 10,1400.0,15558.0,No,No,No,1366.0,768.0,HD / HD+,32GB Flash Storage,32GB Flash Storage,Not Available,Flash,Not Available,1.1GHz,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500
317,Acer,Notebook,15.6,6GB,1TB HDD,Windows 10,8200.0,29251.0,No,No,No,1366.0,768.0,HD / HD+,1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
318,Asus,Ultrabook,15.6,8GB,256GB SSD,Windows 10,1700.0,55939.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,Nvidia,GeForce 940MX
319,HP,Ultrabook,12.5,8GB,256GB SSD,Windows 10,1300.0,71129.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,Intel,HD Graphics 620
320,Dell,Notebook,15.6,32GB,1TB SSD,Windows 10,2100.0,140606.0,Yes,No,No,3840.0,2160.0,4K Ultra HD (UHD),1TB SSD,1TB SSD,Not Available,SSD,Not Available,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050
321,MSI,Gaming,17.3,8GB,256GB SSD +  1TB HDD,Windows 10,2700.0,63883.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD +  1TB HDD,256GB SSD,1TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti
322,Toshiba,Notebook,15.6,8GB,256GB SSD,Windows 10,2000.0,50243.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
323,Asus,Notebook,14,8GB,256GB SSD +  1TB HDD,Windows 10,2000.0,71076.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD +  1TB HDD,256GB SSD,1TB HDD,SSD,HDD,2.7GHz,Intel,Core i7 7500U,Intel,HD Graphics 620
324,Lenovo,Notebook,15.6,4GB,1TB HDD,Windows 10,1800.0,23923.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2GHz,Intel,Core i3 6006U,Intel,HD Graphics 520
325,Asus,Gaming,15.6,8GB,256GB SSD,Windows 10,2500.0,53227.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050
326,HP,Notebook,14,8GB,256GB SSD,Windows 10,1500.0,67559.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.6GHz,Intel,Core i5 7300U,Intel,HD Graphics 620
327,HP,Notebook,15.6,8GB,256GB SSD,Windows 10,1800.0,60952.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
328,Asus,Notebook,15.6,4GB,1TB HDD,Linux,2000.0,14651.0,No,No,No,1366.0,768.0,HD / HD+,1TB HDD,1TB HDD,Not Available,HDD,Not Available,1.1GHz,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500
329,Dell,Notebook,15.6,8GB,256GB SSD,Windows 10,2000.0,60886.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.6GHz,Intel,Core i5 8250U,Nvidia,GeForce 940MX
330,Dell,Notebook,15.6,4GB,500GB HDD,Linux,2200.0,14647.0,No,No,No,1366.0,768.0,HD / HD+,500GB HDD,500GB HDD,Not Available,HDD,Not Available,1.6GHz,Intel,Celeron Dual Core N3060,Intel,HD Graphics
331,Lenovo,Notebook,15.6,12GB,2TB HDD,Windows 10,2200.0,47899.0,No,No,No,1920.0,1080.0,Full HD (FHD),2TB HDD,2TB HDD,Not Available,HDD,Not Available,3.6GHz,AMD,A12-Series 9720P,AMD,Radeon 530
332,HP,Notebook,15.6,8GB,1TB HDD,Windows 10,2100.0,38148.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.4GHz,Intel,Core i3 7100U,Nvidia,GeForce 930MX
333,Lenovo,2 in 1 Convertible,13.9,16GB,512GB SSD,Windows 10,1400.0,111835.0,Yes,Yes,No,3840.0,2160.0,4K Ultra HD (UHD),512GB SSD,512GB SSD,Not Available,SSD,Not Available,1.8GHz,Intel,Core i7 8550U,Intel,UHD Graphics 620
334,Dell,Ultrabook,13.3,8GB,256GB SSD,Windows 10,1200.0,84129.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.8GHz,Intel,Core i7 8550U,Intel,UHD Graphics 620
335,Lenovo,Gaming,15.6,16GB,256GB SSD +  2TB HDD,Windows 10,2400.0,60153.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD +  2TB HDD,256GB SSD,2TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti
336,HP,Notebook,14,2GB,32GB Flash Storage,Windows 10,1400.0,14865.0,No,No,No,1366.0,768.0,HD / HD+,32GB Flash Storage,32GB Flash Storage,Not Available,Flash,Not Available,1.6GHz,Intel,Celeron Dual Core N3060,Intel,HD Graphics 400
337,Dell,Ultrabook,15.6,16GB,512GB SSD +  256GB SSD,Windows 10,1900.0,85672.0,No,No,No,1920.0,1080.0,Full HD (FHD),512GB SSD +  256GB SSD,512GB SSD,256GB SSD,SSD,SSD,1.9GHz,Intel,Core i7 8650U,Intel,UHD Graphics 620
338,Asus,2 in 1 Convertible,11.6,4GB,32GB Flash Storage,Windows 10,1500.0,19980.0,Yes,No,No,1366.0,768.0,HD / HD+,32GB Flash Storage,32GB Flash Storage,Not Available,Flash,Not Available,1.1GHz,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500
339,HP,Notebook,15.6,8GB,256GB SSD,Windows 10,1800.0,69477.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,Intel,HD Graphics 620
340,MSI,Gaming,17.3,8GB,128GB SSD +  1TB HDD,Windows 10,2700.0,75072.0,No,No,No,1920.0,1080.0,Full HD (FHD),128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060
341,HP,Workstation,15.6,8GB,256GB SSD,Windows 10,2600.0,92615.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.8GHz,Intel,Core i7 7700HQ,Nvidia,Quadro M1200
342,Toshiba,Notebook,15.6,16GB,512GB SSD,Windows 10,2400.0,74752.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),512GB SSD,512GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i7 6500U,Nvidia,GeForce 930M
343,Dell,Notebook,15.6,8GB,128GB SSD +  2TB HDD,Windows 10,2000.0,51730.0,No,No,No,1920.0,1080.0,Full HD (FHD),128GB SSD +  2TB HDD,128GB SSD,2TB HDD,SSD,HDD,1.8GHz,Intel,Core i7 8550U,AMD,Radeon 530
344,Lenovo,Notebook,15.6,4GB,1TB HDD,No OS,2200.0,17156.0,No,No,No,1366.0,768.0,HD / HD+,1TB HDD,1TB HDD,Not Available,HDD,Not Available,1.1GHz,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500
345,Dell,Gaming,15.6,8GB,1TB HDD,Windows 10,2600.0,53227.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.5GHz,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050
346,Dell,Notebook,15.6,8GB,2TB HDD,Windows 10,2400.0,29697.0,Yes,No,No,1366.0,768.0,HD / HD+,2TB HDD,2TB HDD,Not Available,HDD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
347,Dell,Notebook,14,8GB,256GB SSD,Windows 10,1400.0,76031.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.6GHz,Intel,Core i5 7300U,Intel,HD Graphics 620
348,HP,Notebook,15.6,4GB,500GB HDD,Windows 10,1900.0,23390.0,No,No,No,1366.0,768.0,HD / HD+,500GB HDD,500GB HDD,Not Available,HDD,Not Available,2GHz,Intel,Core i3 6006U,Intel,HD Graphics 520
349,Asus,Notebook,14,8GB,256GB SSD,Windows 10,2000.0,50350.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
350,Lenovo,Notebook,17.3,6GB,128GB SSD +  1TB HDD,Windows 10,2800.0,38308.0,No,No,No,1600.0,900.0,HD / HD+,128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,2.5GHz,Intel,Core i5 7200U,Nvidia,GeForce GTX 940MX
351,HP,Notebook,15.6,8GB,1TB HDD,Windows 10,1900.0,34046.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
352,Lenovo,Notebook,15.6,8GB,256GB SSD,No OS,2200.0,26587.0,No,No,No,1366.0,768.0,HD / HD+,256GB SSD,256GB SSD,Not Available,SSD,Not Available,2GHz,Intel,Core i3 6006U,Nvidia,GeForce 920MX
353,HP,Notebook,15.6,8GB,2TB HDD,Windows 10,2000.0,20726.0,No,No,No,1366.0,768.0,HD / HD+,2TB HDD,2TB HDD,Not Available,HDD,Not Available,1.6GHz,Intel,Pentium Quad Core N3710,Intel,HD Graphics 405
354,Dell,Notebook,17.3,8GB,128GB SSD +  1TB HDD,Windows 10,2800.0,57809.0,No,No,No,1920.0,1080.0,Full HD (FHD),128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,1.6GHz,Intel,Core i5 8250U,AMD,Radeon 530
355,Lenovo,Gaming,15.6,8GB,128GB SSD +  1TB HDD,No OS,2400.0,43104.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,2.5GHz,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050
356,Dell,Notebook,15.6,8GB,256GB SSD,Windows 10,2300.0,47899.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,AMD,Radeon R7 M445
357,HP,Ultrabook,14,8GB,256GB SSD,Windows 10,1400.0,93240.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,Intel,HD Graphics 620
358,Asus,2 in 1 Convertible,15.6,12GB,512GB SSD +  2TB HDD,Windows 10,2300.0,58555.0,Yes,No,No,1920.0,1080.0,Full HD (FHD),512GB SSD +  2TB HDD,512GB SSD,2TB HDD,SSD,HDD,2.7GHz,Intel,Core i7 7500U,Nvidia,GeForce GT 940MX
359,Acer,Notebook,15.6,4GB,128GB SSD,Windows 10,2100.0,22697.0,No,No,No,1366.0,768.0,HD / HD+,128GB SSD,128GB SSD,Not Available,SSD,Not Available,3GHz,AMD,A9-Series 9420,AMD,Radeon R5
360,Asus,Gaming,17.3,16GB,256GB SSD +  1TB HDD,Windows 10,3200.0,117163.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD +  1TB HDD,256GB SSD,1TB HDD,SSD,HDD,3GHz,AMD,Ryzen 1700,AMD,Radeon RX 580
361,Lenovo,Notebook,17.3,4GB,128GB SSD,Windows 10,2600.0,26054.0,No,No,No,1600.0,900.0,HD / HD+,128GB SSD,128GB SSD,Not Available,SSD,Not Available,2.2GHz,AMD,A8-Series 7410,AMD,Radeon R5
362,Dell,2 in 1 Convertible,13.3,8GB,256GB SSD,Windows 10,1600.0,46301.0,Yes,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.8GHz,Intel,Core i7 8550U,Intel,UHD Graphics 620
363,HP,Notebook,15.6,4GB,256GB SSD,Windows 10,1900.0,26053.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,3GHz,AMD,A9-Series 9420,AMD,Radeon R5
364,Lenovo,Netbook,11.6,4GB,128GB SSD,Windows 10,1600.0,29464.0,No,Yes,No,1366.0,768.0,HD / HD+,128GB SSD,128GB SSD,Not Available,SSD,Not Available,1.1GHz,Intel,Celeron Quad Core N3450,Intel,HD Graphics 500
365,Dell,Notebook,15.6,4GB,500GB HDD,Windows 10,1800.0,16464.0,No,No,No,1366.0,768.0,HD / HD+,500GB HDD,500GB HDD,Not Available,HDD,Not Available,1.60GHz,Intel,Celeron Dual Core N3060,Intel,HD Graphics 400
366,Asus,Notebook,14,4GB,32GB Flash Storage,Windows 10,1500.0,15238.0,No,No,No,1366.0,768.0,HD / HD+,32GB Flash Storage,32GB Flash Storage,Not Available,Flash,Not Available,1.1GHz,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500
367,Acer,Notebook,15.6,8GB,1TB HDD,Linux,2400.0,45075.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050
368,HP,Gaming,17.3,8GB,128GB SSD +  1TB HDD,Windows 10,3400.0,63456.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050
369,Lenovo,Notebook,15.6,4GB,128GB SSD,No OS,1800.0,21498.0,No,No,No,1920.0,1080.0,Full HD (FHD),128GB SSD,128GB SSD,Not Available,SSD,Not Available,2GHz,Intel,Core i3 6006U,Intel,HD Graphics 520
370,Asus,Gaming,15.6,8GB,128GB SSD +  1TB HDD,Windows 10,2300.0,88178.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060
371,Lenovo,Notebook,14,8GB,256GB SSD,Windows 10,1500.0,58555.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Nvidia,GeForce 940MX
372,Asus,Ultrabook,13.3,16GB,512GB SSD,Windows 10,1100.0,93181.0,Yes,No,No,1920.0,1080.0,Full HD (FHD),512GB SSD,512GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,Intel,HD Graphics 620
373,Lenovo,Ultrabook,14,8GB,512GB SSD,Windows 10,1100.0,121585.0,No,Yes,No,2560.0,1440.0,Quad HD (QHD),512GB SSD,512GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,Intel,HD Graphics 620
374,Lenovo,Notebook,13.3,4GB,128GB SSD,Windows 10,1500.0,29251.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),128GB SSD,128GB SSD,Not Available,SSD,Not Available,2.4GHz,Intel,Core i3 7100U,Intel,HD Graphics 620
375,Dell,Workstation,15.6,8GB,500GB HDD,Windows 10,2200.0,72940.0,No,No,No,1920.0,1080.0,Full HD (FHD),500GB HDD,500GB HDD,Not Available,HDD,Not Available,2.6GHz,Intel,Core i5 6440HQ,AMD,FirePro W5130M
376,Dell,Workstation,15.6,8GB,256GB SSD,Windows 10,2000.0,113753.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 6820HQ,Nvidia,Quadro M1200
377,Lenovo,2 in 1 Convertible,14,16GB,512GB SSD,Windows 10,1400.0,133680.0,Yes,No,No,2560.0,1440.0,Quad HD (QHD),512GB SSD,512GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,Intel,HD Graphics 620
378,Asus,Gaming,17.3,8GB,1TB HDD,Windows 10,3000.0,55358.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050
379,Asus,Gaming,17.3,16GB,256GB SSD +  1TB HDD,Windows 10,3000.0,84768.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD +  1TB HDD,256GB SSD,1TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti
380,Acer,Notebook,15.6,12GB,1TB HDD,Windows 10,2200.0,36976.0,No,Yes,No,1366.0,768.0,HD / HD+,1TB HDD,1TB HDD,Not Available,HDD,Not Available,1.6GHz,Intel,Core i5 8250U,Nvidia,GeForce MX130
381,MSI,Gaming,17.3,8GB,256GB SSD,Windows 10,2700.0,71875.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti
382,Dell,Notebook,15.6,8GB,256GB SSD,Linux,2300.0,41498.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,AMD,Radeon R7 M445
383,HP,Ultrabook,15.6,4GB,256GB SSD,Windows 10,1900.0,26587.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,3GHz,AMD,A9-Series 9420,AMD,Radeon 520
384,Lenovo,Notebook,15.6,8GB,256GB SSD,Windows 10,2100.0,65511.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.8GHz,Intel,Core i7 8550U,AMD,Radeon RX 550
385,Lenovo,Notebook,14,8GB,256GB SSD,Windows 10,1900.0,49977.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
386,Dell,Workstation,15.6,8GB,256GB SSD,Windows 10,1800.0,144495.0,Yes,No,No,3840.0,2160.0,4K Ultra HD (UHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.8GHz,Intel,Core i7 7700HQ,Nvidia,Quadro M1200
387,Lenovo,Ultrabook,14,16GB,1TB SSD,Windows 10,1100.0,139860.0,No,Yes,No,2560.0,1440.0,Quad HD (QHD),1TB SSD,1TB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,Intel,HD Graphics 620
388,Lenovo,Notebook,15.6,4GB,1TB HDD,Windows 10,2200.0,16304.0,No,No,No,1366.0,768.0,HD / HD+,1TB HDD,1TB HDD,Not Available,HDD,Not Available,1.1GHz,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500
389,Asus,Gaming,17.3,16GB,256GB SSD +  1TB HDD,Windows 10,2900.0,81465.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD +  1TB HDD,256GB SSD,1TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050
